Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/assets,263,0,7,9.890865733948111,4.953073999786284,69.21906299976399,5954.0,4.684914976333491,0.0,7,8,9,9,12,30,41,54,69,69,69
GET,/assets/bitcoin/indicators,70,0,10,12.428839442899127,7.641868000064278,46.5993529996922,302.0,1.2469355450317279,0.0,11,11,12,12,15,26,39,47,47,47,47
GET,/assets/bitcoin/prices,95,0,12,12.599993631642734,8.823561998724472,43.41212199869915,18406.0,1.6922696682573448,0.0,12,13,13,14,16,17,28,43,43,43,43
GET,/assets/cardano/indicators,95,0,11,13.274219852725142,7.473183999536559,72.42618600139394,319.0,1.6922696682573448,0.0,11,12,13,13,15,27,58,72,72,72,72
GET,/assets/cardano/prices,102,0,11,13.401007147038792,9.0402499990887,67.04200700005458,18109.0,1.8169632227605177,0.0,11,12,12,13,15,25,37,57,67,67,67
GET,/assets/ethereum/indicators,96,0,10,12.159312343745418,7.8125969994289335,43.13696099961817,317.0,1.7100830331863697,0.0,10,11,12,13,14,31,43,43,43,43,43
GET,/assets/ethereum/prices,89,0,11,12.741701460757039,8.45943499916757,54.136479999215226,18414.0,1.5853894786831968,0.0,11,12,13,13,14,24,43,54,54,54,54
GET,/assets/ripple/indicators,97,0,11,11.40664838141637,7.454037000570679,30.072393999944325,289.0,1.7278963981153943,0.0,11,12,12,13,14,15,18,30,30,30,30
GET,/assets/ripple/prices,93,0,12,13.977307828040907,9.436132000701036,48.29910400076187,17844.0,1.6566429383992956,0.0,12,13,14,14,19,32,38,48,48,48,48
POST,/auth/login,274,0,7,68.74498674454509,4.128704000322614,328.35261000036553,78.21897810218978,4.880861990552763,0.0,7,11,64,230,250,260,300,320,330,330,330
POST,/auth/register,164,0,250.0,259.48294028654436,221.41659899898514,346.4701469983993,141.53658536585365,2.921391848360048,0.0,250,260,270,270,290,310,330,330,350,350,350
GET,/health,1655,0,2,2.409807752879506,1.09186800000316,26.587000000290573,15.0,29.481118957535852,0.0,2,2,3,3,3,4,8,13,21,27,27
,Aggregated,3093,0,4,25.018903912405605,1.09186800000316,346.4701469983993,2793.180407371484,55.096737725473346,0.0,4,9,11,11,23,250,260,270,330,350,350
